correct/anomalous;ra;dec;parallax;pmra;pmdec;astrometric_excess_noise;ruwe;phot_g_mean_mag;phot_bp_rp_excess_factor;bp_rp
1;219.7835809562628;-61.07542666004684;0.22034799630600133;-7.039570048017529;-7.116228270820758;0.4645979;1.0618469;18.363285;1.4921159;2.0006409
1;219.7823629324278;-61.07559191123906;0.09095729370064833;-2.1413068070320875;-2.6582033345178795;0.22410673;1.05139;17.764496;1.5723628;2.148428
1;219.7867023162678;-61.074807114552236;2.009663492993925;-10.675428365412326;-0.25912550668121975;0.78655255;1.1167767;18.530504;2.7699666;2.048954
1;219.78450443277387;-61.074986842969835;0.44955648567711215;-0.48216374840881887;0.29874398906530697;0.0;1.0010532;19.534937;;
1;219.7779796887645;-61.0756621346749;-0.035716883357445994;-5.733295842739519;-3.1445859117650214;1.0906256;1.2404888;18.487286;1.771061;3.4845695
1;219.786698744228;-61.074213768758135;0.926351029086906;-0.8442451813935237;-2.9542115767020714;0.0;0.99201536;18.302351;1.395055;1.7119389
1;219.76882145871488;-61.075866338785026;0.16217908069659454;-5.53624151789747;-3.2198570360394188;0.093699776;0.99094015;16.919947;1.371061;1.7155275
1;219.76944983849714;-61.07641415865483;0.3279972292438965;-3.2909783603862612;-1.4735766952070017;0.0;0.9991549;17.860964;1.4926609;1.8246231
1;219.78086355774735;-61.07465825276727;0.8235600681132479;-6.405498138515627;-3.896800239753089;0.0;0.9348003;19.754076;;
1;219.77437190148248;-61.07472580431489;0.9287037139134008;-1.850493909309558;-0.3832885234022953;2.9460504;1.6569232;19.198715;2.8945684;2.0906963
1;219.77458252226916;-61.07484822359456;;;;0.55239046;;19.46151;4.8755093;2.2485447
1;219.78683794656314;-61.07308715378663;0.3400322479478767;-1.7749601916469255;3.2176548489247634;0.0;0.9986333;19.625963;1.5566576;1.6370106
1;219.78893329681551;-61.07261566487792;0.4496882911395409;-1.4114980716561685;-0.6488010235488495;0.0;0.99305665;17.568419;1.3274522;1.6520786
1;219.77063547370534;-61.07577452102179;;;;0.0;;20.975378;;
1;219.77103952741973;-61.07525334337571;1.2763578587011812;-10.213312467361632;-6.108212978677043;0.0;1.032244;20.45721;;
1;219.77106291418193;-61.07486784778681;0.6161497040105544;-7.465681887986872;-4.036807091577998;1.1291384;1.0533442;19.683075;1.8135192;2.9175186
1;219.78257237202703;-61.07275950031125;-0.4099291668761635;-5.802364269990877;-3.3998973106227774;0.7761346;1.2004728;18.426033;1.4214774;1.792839
1;219.7735812443786;-61.07383387316427;-0.9185813585035663;-5.85134500217641;-3.404126320536471;2.2270446;1.0997485;20.205511;;
1;219.76299939052808;-61.07407101111179;0.7463779448354928;-6.432822706475135;-2.9290750251928297;1.2349358;1.0598544;20.01449;1.2059647;1.9889984
1;219.78729045396116;-61.07088136364731;0.26958772777802803;-5.464708344146121;-2.385505574260832;0.3538934;1.0462852;18.414;1.7812458;1.7543278
1;219.78062974205338;-61.07138052629764;0.5735766986001087;-4.019136834600989;-1.4001671447370336;0.0;0.9500389;19.914194;1.3625963;2.237383
1;219.7736171539354;-61.07145579733884;4.852291875059946;-3.597256092494825;2.2124497563230676;2.4191513;1.0644755;20.709373;;
1;219.7741014884615;-61.07217854506638;0.37934790073113306;-10.674635305859407;-6.568905595039762;0.42449385;1.0876905;18.426935;1.5407587;1.5521011
1;219.78814952752535;-61.07013869680185;0.5772837571497444;-15.76712017175715;-7.037766021249828;0.5368544;1.0116881;19.323246;1.982799;2.0451736
1;219.76722255444398;-61.07219127867029;0.2640090002646317;-7.274530409484342;-3.2371506411044377;0.0;0.99965525;19.244926;1.2876152;2.1282578
1;219.77572300604777;-61.07068544427978;0.38350582454811505;-4.332671889931293;-2.897162658554713;0.21877274;1.0662392;17.744516;1.2997802;1.5127525
1;219.76973034205005;-61.071261528668316;0.28408242627625097;-5.276343406597938;-3.0055044580484394;0.0;1.01299;17.626108;1.416962;1.8595028
1;219.76508261097771;-61.07348060656841;;;;0.0;;21.112383;1.7150424;2.1999626
1;219.77699879681455;-61.06986387783049;0.2834662510708776;-5.868613027733301;-3.516427423852008;0.0;1.0244371;18.53506;1.3992325;1.7631397
1;219.7772494610102;-61.07029300113158;0.29488705866508236;-4.2081134656650505;-2.9671168965625463;0.0;0.989965;19.846043;;
1;219.75894559624962;-61.071547141074205;0.07683291825639964;-6.340495434492395;-2.8296725088592116;0.0;1.0093883;19.734055;1.1360114;1.9337826
1;219.76377515989626;-61.07056649101191;-0.07629944553304605;-4.874364914158143;-2.348392525871492;0.0635752;1.0154837;18.989712;1.2499019;2.2621078
1;219.76998826538912;-61.068703368380554;0.08289429837433718;-6.7215310794340795;-3.2968707406311206;0.4327845;1.028454;18.986742;1.2710824;1.8431988
1;219.77794309850668;-61.06721074418214;0.20326987396716395;-4.615256953356831;-2.6844312909354846;0.45974815;0.9953292;19.465183;1.2394345;1.8284569
1;219.76343199373613;-61.06906346282563;0.04156295424446067;-4.851412835329524;-2.7379370780828203;0.0;0.96542484;18.891554;1.2933257;2.1447124
1;219.78355030657198;-61.0653391963567;0.718108558446029;-7.339062549271121;-1.3422553520413378;0.15467486;1.0254278;19.286573;1.2084384;1.8269901
1;219.76519389679268;-61.06766023304434;-1.5524319800009183;-0.32345198790828755;-3.2488452688052445;2.424747;1.0652409;20.741438;;
1;219.76447667349268;-61.06751495414263;0.15253501564538977;-2.4223465444036876;-0.9520534989233838;0.17552315;1.0194433;18.427736;1.3220489;1.6770458
1;219.77279183480505;-61.066299310985414;0.28232037390063486;-6.138776986838496;-3.643569129087018;0.18513912;1.0366589;17.70999;1.274397;1.5910606
1;219.78339726787044;-61.06872498296873;0.5571330416240747;-6.8436745251467865;-3.783927136432274;0.59113014;1.026333;19.634148;1.2416594;1.8648243
1;219.7737396829882;-61.06542150275829;1.1268489802172343;-4.0593643937024115;-1.2801026937459175;1.6971632;1.0352827;20.34071;1.2646465;1.9890442
1;219.78141856715698;-61.06714344440456;4.442190828498265;-6.630277503138666;0.5462080202284216;1.3676223;0.9570037;20.854298;2.5921574;2.020872
1;219.78175690317323;-61.06874126089559;;;;1.2186921;;;;
1;219.7812479371078;-61.06853629442366;0.742683060060127;-4.8066990831789695;-3.3626495129813145;2.2647202;1.1004478;20.594505;2.2626452;2.1057796
1;219.78405075159284;-61.06933999100853;-1.5852749666920576;-11.421818339734262;-10.971623193078063;8.169046;1.6844357;20.662252;1.4419562;1.6529655
1;219.77484296019827;-61.06797216270157;0.9876734680324354;-7.07234404560884;-2.648664148711847;0.81669676;1.0252395;20.58864;1.445215;1.9466915
1;219.78051916424346;-61.0702968748311;0.08650906670362574;-6.653349799039414;-4.0677571488654936;1.2112772;1.0315019;20.380455;1.1057028;1.9424438
1;219.7738246589476;-61.06901153506862;0.46086590350717754;-5.939864153741807;-3.4444402386084008;2.654254;1.31415;20.58222;1.8074027;2.475975
1;219.76865242925047;-61.07382894775346;;;;2.050452;;20.810202;1.4068637;2.0716553
1;219.7652129958429;-61.07443806921673;-0.09343631925328952;-9.75038352842702;-5.986260845997002;2.025608;1.1061226;20.490484;1.3572471;1.8168907
1;219.7616786642791;-61.07375044643247;0.1815637926839484;-4.611275904873798;-1.3818658941258692;0.0;1.0061755;20.645292;1.2712458;1.7992859
1;219.771335875731;-61.07836988621062;;;;2.9430156;;21.017694;;
1;219.77583498915143;-61.06908753368517;;;;3.536961;;20.879381;1.3733345;1.982029
1;219.7766385882214;-61.06608292512048;;;;3.726099;;20.991476;1.8279773;1.5152683
1;219.76434706123672;-61.07406362246093;;;;6.049483;;21.155952;;
1;219.76419230868612;-61.075813145542;;;;4.224168;;20.923536;1.1404811;1.3911781
1;219.77546924994968;-61.06305200087618;;;;5.326563;;20.930822;2.0304768;2.8285599
1;219.76810104142766;-61.078803943779945;0.8588746813817331;-8.952923330061434;-4.6541066711304335;0.0;0.9664027;15.558019;1.2349782;1.141387
1;219.77038303145244;-61.07762137726463;0.18806395423943675;-2.0208294583293416;-1.1604013088900778;0.0;1.0020883;17.390121;1.3213894;1.7735043
1;219.78593528156665;-61.07564893886588;0.8347026343333935;-4.429756131196747;-1.9373309525908946;0.7182536;1.0412284;20.505186;;
1;219.76513790601695;-61.077977090215796;0.8553631190580407;-4.729064472947256;-4.866126755963034;1.1689749;1.1299205;19.287357;1.3507569;2.096922
