correct/anomalous;ra;dec;parallax;pmra;pmdec;astrometric_excess_noise;ruwe;phot_g_mean_mag;phot_bp_rp_excess_factor;bp_rp
1;41.13604364261619;89.19400223319153;0.3634714242681617;7.592460303124565;-3.340431314181353;0.0;0.9878793;19.237171;1.37705;1.9501858
1;41.3630401987437;89.19901756846696;0.7018719426775296;-7.859941710107638;6.888578641671924;0.7327175;1.0378858;19.279167;1.4372847;2.1492805
1;42.11554044069314;89.20776204692844;0.5525844387799265;1.9625915112816639;-5.892528766201652;1.7169389;1.0904298;20.171333;1.8666323;1.7087269
1;43.36435834591398;89.24092246156266;0.4244428641702327;-5.311891254449093;4.445269190517165;0.27203146;1.0586642;19.554295;1.3995382;1.677433
1;43.416394945218855;89.23122228559522;0.4928964990155019;-4.401772175945874;3.9657265594475843;0.81446594;1.0203549;20.706244;1.8967716;1.3878727
1;43.88101732251854;89.24708133009774;1.4646201255029896;-4.83118363384821;8.032884930956193;1.4705235;1.0747459;20.530752;2.1111104;1.3261814
1;38.04448472493139;89.18810440389859;0.44424750420397474;7.58852244864906;-5.007000750441877;1.3329912;0.997825;20.541346;2.018931;1.4810486
1;35.87028549450995;89.19666093795765;1.357220364433808;-10.749550800866498;3.476193406833023;0.0;0.9878541;19.773903;1.5247251;2.0153427
1;37.45889062339864;89.18621049959907;0.933453465085465;-1.2588963149399504;-4.644642256229261;0.0;0.9985013;16.626549;1.3122592;1.3516102
1;37.80603857485041;89.19858277382245;0.5915296164810994;2.2655733926032813;0.6531087170204212;1.9815862;1.1115131;20.03969;1.6326169;1.7790146
1;38.10857545841638;89.20249299701109;4.53590416554654;35.171896987399556;16.97610150889755;0.0;1.0541781;14.104361;1.2956499;1.7065125
1;38.14217109722358;89.1922714630257;;;;0.72083867;;20.941488;1.6572088;0.6419239
1;36.43381985978919;89.20794003796615;0.7007892481534062;8.630855018829275;-6.82462401745869;0.0;1.0022633;15.391275;1.250903;1.1179552
1;36.48539869543246;89.20348471540815;0.8389470907453507;2.58207488667984;-0.7286123095460144;0.0;1.038168;15.639709;1.2675734;1.2607002
1;37.36920489613767;89.21117155076385;0.3556543190219042;3.6570633525760767;-1.7466313108215044;0.0;1.011574;19.074036;1.2600776;1.6394444
1;33.08854609236402;89.2205102370261;1.9444883914613464;14.566522249713511;-21.280795913159483;1.0657666;1.0205493;20.033684;1.5768836;2.1362495
1;35.716200000277176;89.20301312726974;0.26923347605670234;-0.3399609130956338;5.864309376788491;0.6993786;1.0273862;19.26148;1.2613288;1.4313259
1;33.665993511595914;89.2045969594735;1.2340428914696735;1.5826624230226667;-2.659054198197956;3.5078294;1.5427952;20.675346;2.0765963;1.1034527
1;34.46078782494388;89.21401862211513;;;;14.917975;;19.530106;2.1266356;2.7948208
1;35.821688100818555;89.21465891100276;0.7152972871147347;-0.5077180248471707;3.542302826600676;0.0;0.8908488;20.331036;1.385629;1.0271244
1;35.32177495185298;89.2268591671526;0.8207058314811924;13.523836594589916;1.1858783727125581;0.0;0.98390603;14.659569;1.2469647;1.1613569
1;33.7033019061561;89.2146168085337;0.571257819407054;-0.27543784242166724;2.641852644152166;0.0;1.0013763;15.731693;1.2493516;1.0224152
1;32.62374345397234;89.22062738729375;1.9568346552466798;-3.537745058302175;4.8687321824896275;1.8600208;1.0237492;20.830688;1.5604669;1.6309319
1;33.057447633509746;89.22473557562621;0.7252793348333217;-2.1173892230715867;-1.4441340168695114;0.0;0.9771692;17.986649;1.3787996;1.7769775
1;33.10380049086626;89.23466520710193;1.169604369629567;-4.161597833909778;3.004860142396838;0.0;1.0267686;20.52561;1.7286353;2.0240517
1;32.93811329622902;89.2285213573305;3.063409531696521;21.06673219842922;-22.974589704373443;0.11587211;1.3407902;13.86233;1.2582971;1.427866
1;32.66818666453885;89.23496213637296;-0.7118665352682927;1.2525945632834803;1.7892157833991047;2.5181122;1.3513347;20.455593;1.6389555;0.5940037
1;33.95567247300176;89.23191126243019;1.302039268586531;9.769019432303672;-1.0786012093076836;0.58391064;1.0453476;18.794786;1.6963172;1.3601723
1;34.03653508949999;89.23474734388633;;;;4.734198;;21.027262;2.2069244;0.65407753
1;39.83882468062218;89.1945604644491;0.6895756164360768;-3.8947741019662216;5.05757293813386;0.0;1.0322752;18.059147;1.3799758;1.5502434
1;40.35079017599174;89.20092978225803;0.4580317948188203;-2.778787600136649;3.336400772235858;0.0;0.9540273;20.41111;1.7953831;1.1374836
1;40.75512782996379;89.20540832639449;0.6119908798525078;3.352939987746007;0.6255345455557029;0.0;0.9867899;17.492651;1.3250552;1.6270828
1;41.84239888503113;89.23174603286566;2.7600628933432274;-6.41189488205992;0.7090402916406428;1.860811;1.0747166;20.538027;1.9206;1.4397392
1;40.91128528799376;89.1961063721325;0.3769498695698945;-1.9294986540932015;2.8154885401753043;0.0;1.0338283;17.782936;1.2813556;1.1745262
1;38.82351956051831;89.20053102685004;-0.09354357396454648;-1.3982575323929245;0.16345725489677046;0.0;1.0429293;20.181278;1.2781447;0.76807404
1;39.26995054475013;89.19367199934673;0.40783205620062957;-1.5468573818050055;3.661150425970051;1.0172403;1.1040229;19.650639;1.4177607;2.0647335
1;39.20897762710096;89.19466127950615;0.7953122293654092;-4.907958465003631;0.9227251125750856;0.115529776;1.0510526;16.604877;1.2624471;1.4568682
1;39.895268452890086;89.2160458409435;1.3946809824943598;10.425624493404598;-5.266162144725086;0.58547187;0.97836983;19.168388;1.4832964;2.353012
1;39.81922917670011;89.213933772707;0.40142066912478824;3.138207723672963;-0.6858035955963889;1.3048395;1.0619197;20.63186;1.3556399;0.624218
1;39.23618882044176;89.21290435428259;1.5527678934381064;-0.19798044949092075;2.611648362261857;0.4027606;3.3786285;13.562607;1.2357423;1.0439415
1;39.89002871525654;89.20400524757001;1.562482810827851;11.412266767071706;-7.435999235201566;1.4270601;5.410624;15.301982;1.3927393;1.335166
1;41.228310762220126;89.20778310793622;0.3679840902693721;-4.083300742286895;-1.8714104261270337;1.8481232;1.0356852;20.888502;2.1166475;1.1336441
1;40.67503679090903;89.21628042472695;;;;2.1565378;;21.04463;2.0728264;2.1415997
1;41.218159284740395;89.24023704407439;0.805341259951581;-7.639935575498217;3.6270832722325834;0.0;0.9919927;19.112076;1.3004652;2.1975384
1;38.078684793446904;89.2123310156071;-0.01338323414446873;1.1670086848074421;4.200359316080307;1.4340514;1.1871775;19.273222;1.3096004;1.4417133
1;38.396153996026975;89.20837012872109;-0.886871486125942;3.7671681761079125;0.7420110654808587;4.3699512;1.248895;20.683123;2.0095456;1.5637112
1;39.23315320535693;89.22742883937386;-0.08529576701536762;0.40639867939042207;2.0999798512877943;2.093418;1.1107018;20.29746;4.230811;0.33506775
