correct/anomalous;ra;dec;parallax;pmra;pmdec;astrometric_excess_noise;ruwe;phot_g_mean_mag;phot_bp_rp_excess_factor;bp_rp
1;79.16900691023326;45.916972906650706;-0.49265072449260017;2.112978905618783;-0.5300350499473361;1.380527;1.0981853;19.973295;2.0872278;0.8789673
1;79.16423920239625;45.91348628932285;1.2163479114032938;4.780413905665441;-4.988588305705886;1.5792358;0.9984834;20.428452;1.7487013;0.8460617
1;79.18163916840972;45.92052382795869;0.29267080288236147;-0.4792208764085339;-1.25412488772597;0.071937144;1.0108664;17.118519;1.291875;1.1944294
1;79.19254424969942;45.925156467800214;0.46814872459665335;-0.7198182444065702;-2.7895544453269934;0.0;1.0277866;18.564026;1.2459975;1.4662876
1;79.18306850653804;45.92201127904182;-0.3043542982901904;-0.1389106887249451;0.26556588927747315;0.59245884;1.0477483;19.829;1.3243154;0.7914734
1;79.18177614352237;45.92079420396844;;;;0.0;;20.308535;;
1;79.18514534492068;45.91717587448844;1.263199810342249;-0.16667837150360953;-8.624962514884288;0.19361009;0.9737564;19.004887;1.4320242;2.3989792
1;79.18610805629135;45.914665916127554;0.2748630446783248;-0.4455079122131013;0.5472109758563839;0.21281606;1.0738368;17.707146;1.2070787;1.2878647
1;79.18246704239424;45.914975913107426;0.7196312457936591;0.07529378885054548;-0.6030700712317845;0.0;0.9855948;18.861649;;
1;79.17786040591403;45.916761335690325;0.6035485363796576;-0.843204149944832;-1.7922036175964233;0.55947447;1.0901133;20.107119;1.3155859;1.4038181
1;79.1866966520956;45.92718062721913;0.7529642186131442;-3.64448100376831;-1.4976300397755637;0.18647161;1.0474384;18.918745;1.2618302;1.409008
1;79.17842396611218;45.92262104065317;-0.47508591446143633;1.36972197175169;-1.0809606461045171;0.0;1.0085652;20.330801;1.7772986;0.67926216
1;79.180530276346;45.92071345103359;1.0990980629597313;-1.5207124208663823;-2.406383128728158;0.0;0.95691055;20.426657;2.7935126;1.230156
1;79.17592284390295;45.921772540295144;0.059365427467630794;2.079263223193414;-2.1177163181799927;0.0;0.963379;18.979132;1.5221679;1.2305622
1;79.1727548373272;45.916133929100475;0.5757843572123056;0.21184423570087485;-1.9536053794125616;0.0;1.073371;20.728493;2.3740044;1.156002
1;79.17909272657779;45.91384926056756;;;;3.6542165;;20.85762;2.039556;1.40662
1;79.18261419738866;45.91530650380829;0.36264084756851633;0.6920872363869627;-2.113504683686975;0.2911215;1.1412642;17.146887;1.4816264;1.2700691
1;79.17711827322114;45.920927508406564;0.14108423195671138;2.1164193508997675;-0.7085762139322226;0.07983813;0.90438634;15.153371;1.3124775;1.7729788
1;79.23379789571204;45.926357791755926;;;;4.1550937;;21.139269;2.3347223;1.3079987
1;79.24971697266304;45.935592335249396;-0.0361282395159898;0.2403927165045553;-0.831726026187725;0.42927083;1.0425584;19.095556;1.2778198;1.5124378
1;79.24791729610284;45.935708021542695;;;;1.691898;;20.835247;1.8558307;0.89138985
1;79.24990445056574;45.932808370527646;0.5589277578486892;3.1785222039076286;-7.075130777170629;0.058818277;1.0236125;17.36405;1.2630308;1.3971767
1;79.23669436167164;45.940296909707;0.30592439456912845;2.2058309088468784;-2.4924991523897004;0.4561395;1.113314;18.26082;1.2587576;1.4972801
1;79.2245930614344;45.93241773415035;0.4309840658546534;-1.3535534837195538;-0.7636176815379832;0.11712723;1.0216497;17.287838;1.2625446;1.2320251
1;79.22657778296171;45.92706342569488;-0.013732944973798691;-0.14406584554509827;-2.2226485002612586;0.0;0.975419;19.226595;1.336413;1.2820683
1;79.22187796873085;45.929486451073515;0.23488569845253193;0.14394867907964767;-1.711395735404233;0.3454562;1.1049759;18.003672;1.3141001;1.188755
1;79.21800321912289;45.92563988623855;0.5313537753395704;0.8573260100710117;-2.3728455217660853;0.0;0.99320793;19.956678;5.853045;-0.40925598
1;79.22929312151135;45.9326421702434;0.8985428502318757;-0.1817301219227525;-3.659593337638217;0.0;0.9857132;20.618582;2.9526484;0.26561165
1;79.20983390491823;45.94056987612646;0.36814412395117346;1.3957334797308865;-2.001582062120538;0.0;0.958539;17.668903;1.2700489;1.2427654
1;79.21522064848908;45.93619702889187;0.43027577388226135;1.8043905859521485;-0.4282045494075031;0.0;0.99253947;19.270351;1.2122662;1.2122154
1;79.2037195789698;45.932388850335535;0.13161235022882;0.7259398432610187;-1.1878135735974524;0.38334754;1.0487051;19.027859;1.2754807;1.2555847
1;79.20172885263861;45.9290044754571;;;;4.5190825;;20.972267;5.4516697;-0.57759666
1;79.19485145508077;45.930646149257726;0.27950577863036763;-0.06198512389634442;-1.4890093705568415;0.0;1.010195;18.986296;1.5271605;0.9351196
1;79.22681385038871;45.94874737120354;0.7085043283920821;1.1150204322003392;-1.5312499562792534;0.0;1.0216616;18.66863;1.3853083;1.3459778
1;79.22372939015881;45.948367240543384;2.0160615884519024;-3.8760411493311393;-1.6122058105686647;1.5656509;1.1065356;19.792646;1.6249776;2.1190243
1;79.2140529649031;45.94364131932451;-0.4600933799820588;2.7272280008466874;-1.645773154424757;0.0;0.99374586;20.451239;1.8302879;0.13824463
1;79.21976506317606;45.934897860107384;0.356729562560217;-0.3872206252498177;-1.7943489246347804;0.0;0.96817815;18.79857;1.2927328;1.2248211
1;79.22910452869773;45.94685978578978;1.4944037644197485;2.5699020881650347;-1.2700670429608452;0.0;0.9990345;20.326744;1.4616157;1.249979
1;79.23307545852239;45.94230879294089;;;;0.0;;20.724165;1.9116253;0.52113533
1;79.23285497366345;45.947059268344184;0.41548227096381457;0.717074516738517;-3.8467429982775085;0.0;0.9074698;17.190742;1.2010889;1.3112297
1;79.23400849635006;45.953353800778864;0.49605590771492813;-0.40468878590858276;-2.938482384057023;0.0;0.94593966;17.619444;1.3602844;1.4116306
1;79.26081100902904;45.944903902385285;0.5885462749755344;0.6385097576483239;-0.7890661296761949;0.20084779;0.994527;17.413748;1.2773528;1.3020058
1;79.2578591954909;45.95532809724308;0.17755269060906764;0.21538251372708492;-0.04249613763841226;0.0;1.0423229;14.71448;1.2071906;0.7217169
1;79.25370708913385;45.94157079662253;0.5257763665070068;0.863388404448158;-2.0261117253325125;0.0;0.99009573;19.088184;1.2996811;1.5031338
1;79.2494685686139;45.94201633825355;1.147926065532384;1.129625188293538;-0.7801935190233421;0.0;0.9305612;19.755749;1.4983095;1.4049339
1;79.24442044917114;45.94279218971432;1.3197583711599243;-1.4191040441984581;-5.811691671488008;0.0;0.9897907;18.685421;1.5840651;2.1285362
1;79.24373620343475;45.94047237858667;0.33659544927597007;0.12087740726008561;-2.4047092397455083;0.0;0.91674507;17.961706;1.3192482;1.4406834
1;79.25396535527916;45.94829134215864;-0.45616471802630254;0.3854849899008766;-2.1644173219667913;0.0;1.0176475;20.31752;2.4376671;0.6360359
1;79.24207045159007;45.94072173071522;-0.30749600414240497;-1.5576992826550666;-0.08319416348192725;0.0;0.9758857;20.513794;1.9994181;0.8794575
1;79.24939011187712;45.93996051098173;0.21857430306892073;3.7938695609227624;-2.572802938917503;0.0;0.994839;18.766228;1.2068585;1.4184875
1;79.24362708750374;45.942851328313886;0.9206471998935164;-0.9634958037659013;-2.849295975807098;0.0;1.0131876;19.968721;;
1;79.270873137499;45.957260553252;0.13544629731717878;0.1128705238229835;-1.0225562057744457;0.0;0.94224054;19.23431;1.3738122;1.3600826
1;79.26209416086274;45.945921809872225;1.4267943153568319;0.4188530499568426;-0.6185591357308743;2.1290524;1.0356053;20.305336;1.838128;1.0114899
1;79.248722541644;45.95893301134683;0.2988588494991747;0.24999399868550073;-0.9519291421784108;0.2437368;1.0107836;18.40568;1.2586708;1.2854939
1;79.24230237558672;45.9599189083639;0.27201937066523435;0.7463785445022824;-2.976442916464281;0.0;0.98578036;17.86571;1.380038;1.3703957
1;79.23997378717384;45.95970553159048;-0.010416305667614305;1.4611051112919846;-0.7132397681237732;0.0;0.96512955;17.427067;1.405971;1.184185
1;79.24041523810679;45.95157816559063;-0.3857491992440502;1.853170645938252;-2.6920900914661843;0.0;0.99868894;19.393524;1.4422575;1.4190941
1;79.23852564955068;45.95180337294342;-0.1333598733583343;-1.1390986471153683;-0.9276390492222708;0.0;0.9624622;19.852793;1.7977431;0.8232708
1;79.24510180030907;45.960922796896625;-0.4624794942767867;-0.2648324718332879;-0.2139921504394203;0.0;1.02592;20.237926;1.7321568;1.1030369
1;79.25388971903435;45.955668167593295;;;;0.0;;20.955637;0.7440815;0.5137844
1;79.24858046902705;45.95653908038069;;;;1.9024065;;20.708927;2.3796263;0.6787777
1;79.24626637571322;45.952496969078815;;;;3.4518058;;20.966732;3.2085943;2.5755234
1;79.24583854311363;45.951245905880704;1.5508238095114817;-0.4179364048102267;1.8679444070170297;0.0;1.004621;20.64059;2.002951;1.1056728
1;79.25595687004737;45.96672889613373;0.9595726005317435;0.12819181048586836;-10.110430989753862;0.0;0.97555214;14.607182;1.2231814;1.0085573
1;79.23704178221669;45.9548730012199;-0.2865391695135101;0.664776273120234;-0.23367307773496027;0.0;0.9593132;18.570549;1.4258587;1.2836304
1;79.25160174372812;45.96401052022582;;;;0.0;;21.054764;1.5916792;1.3622532
1;79.24651114365776;45.95681251828494;0.6727558032630134;0.8079728766988097;-1.700485053086469;0.0;0.93548185;18.86288;1.3283395;1.4617062
1;79.26724600496932;45.97431494068122;-0.014800114629922555;0.7412457999975;-1.3446107870316482;0.0;1.0091654;18.266296;1.2964554;1.1453266
1;79.2699062562993;45.970933820490885;0.8974006824350669;0.31282957589384364;-1.2752670994329294;0.0;0.92105687;19.463282;1.4139539;1.2311077
1;79.27061471777564;45.969432157399815;-0.11066001206413606;1.5040411291367553;-0.8591903683947694;0.0;0.97846794;19.04382;1.2423378;1.9009075
1;79.27219154289834;45.967847049166416;-0.07548928316552504;0.08841730667593381;-1.1496806352283715;0.0;1.0069239;18.2271;1.2508667;1.4709034
1;79.26324177858402;45.96687445894755;0.47336685905278686;0.4218253249945862;-1.4238461528700397;0.0;0.9923064;18.39253;1.4195232;1.4104481
1;79.2577027620093;45.963364405981395;0.24542241435037138;0.6683819413199883;-6.257540872114735;0.0;1.0622352;19.725462;1.5578588;2.2265968
1;79.2595726127625;45.95946748388124;0.7529651545251976;6.7136547491532275;-5.398118166002272;0.0;0.95680577;19.193272;1.3125024;1.8883743
1;79.25923268249103;45.957522421654176;-0.32813507807928777;0.7978503559017667;-2.9382274004344255;2.5051732;1.3299235;19.658722;1.4842517;1.4801044
1;79.26960656047449;45.97197156875751;-0.9819802021157316;-1.433027430098628;0.6558453949126739;0.0;0.99670225;20.219435;1.8664038;1.1510105
1;79.27198072821032;45.96643620871426;0.3835605019555384;1.8570695112334252;-2.105625111184044;0.0;0.9819899;20.458004;1.557092;0.9827442
1;79.27732301603625;45.9709016215908;0.26391949290714967;0.8847154761456145;-2.0248553276036256;0.0;0.95583445;14.713036;1.2042837;0.807601
1;79.26846005376284;45.970546449167955;0.4874203894718403;1.455618323376928;-0.6209540012739925;0.0;0.97693163;16.686735;1.2505528;1.2626076
1;79.26317657587258;45.96879077613459;0.17216646369529087;-0.8511639646433476;-0.08332902798019437;0.0;0.9975663;19.177008;1.4901518;1.596426
1;79.2716775393598;45.949348164201396;2.5278710713144674;2.23143709678933;-0.5139110455371886;0.0;1.0197041;20.309639;1.809063;1.617691
1;79.21412432670066;45.92349105188444;0.4552953646565786;-0.4612805207716389;-1.8227991297570862;0.0;0.9783754;17.947346;1.3596948;1.352251
1;79.20215489455649;45.91730408733067;0.12203859750709413;-1.8229036019916833;-4.603527161727063;0.0;0.9862463;19.424753;1.3669153;1.4826756
1;79.20959218150612;45.92451586771247;0.2593671753336371;0.08578286630937884;-0.5957653346202814;1.3909802;1.0364913;20.726326;1.913225;0.7075958
1;79.20711344690955;45.92064041225187;;;;2.1758015;;20.786741;2.9016147;0.38114548
1;79.20806325681565;45.92603417381112;0.22537291963044692;0.26358905097319807;-1.2573682261299726;0.13406555;1.1044931;15.540422;1.1946052;0.72522736
1;79.21867833993818;45.92594740888352;1.55917831703201;-0.36664072714612206;-5.085186396370858;0.30339777;1.0074887;18.620876;1.6090894;1.9087296
1;79.10789315211309;46.0379699782934;;;;3.3806005;;20.911875;2.801326;0.519104
1;79.08559411675456;45.94481721868152;0.40120477787269926;0.9425757539614922;0.3816047835036416;0.0;1.0033032;18.640593;1.4402297;1.1859322
